,color,duration,gross,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,Action,Adventure,Biography,Comedy,Crime,Drama,Fantasy,History,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
0,color,240.0,116866727,the wolf of wall street,2013,english,usa,100000000,8.2,"leonardo dicaprio,matthew mcconaughey,jon favreau",138000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,color,195.0,408992272,iron man 3,2013,english,usa,200000000,7.2,"robert downey jr.,jon favreau,don cheadle",95000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,color ,187.0,54116191,the hateful eight,2015,english,usa,44000000,7.9,"craig stark,jennifer jason leigh,zoë bell",114000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
3,color,186.0,46495,margaret,2011,english,usa,14000000,6.5,"matt damon,kieran culkin,john gallagher jr.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,color,186.0,258355354,the hobbit: the desolation of smaug,2013,english,usa,225000000,7.9,"aidan turner,adam brown,james nesbitt",83000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,color,183.0,330249062,batman v superman: dawn of justice,202,english,usa,250000000,6.9,"henry cavill,lauren cohan,alan d. purwin",197000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,color,173.0,623279547,the avengers,2012,english,usa,220000000,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,color,173.0,623279547,the avengers,2012,english,usa,220000000,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,color,158.0,102515793,the girl with the dragon tattoo,2011,english,usa,90000000,7.8,"robin wright,goran visnjic,joely richardson",54000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
9,color,169.0,187991439,interstellar,2014,english,usa,165000000,8.6,"matthew mcconaughey,anne hathaway,mackenzie foy",349000,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10,color,167.0,161029270,straight outta compton,2015,english,usa,28000000,7.9,"aldis hodge,neil brown jr.,r. marcos taylor",76000,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
11,color,165.0,25359200,boyhood,2014,english,usa,4000000,8.0,"ellar coltrane,lorelei linklater,libby villari",92000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,color,580.0,162804648,django unchained,2012,english,usa,100000000,8.5,"leonardo dicaprio,christoph waltz,ato essandoh",199000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
